n,	e
1320,	22.129959
1321,	22.132940
1322,	22.135920
1323,	22.138897
1324,	22.141872
1325,	22.144845
1326,	22.147816
1327,	22.150785
1328,	22.153751
1329,	22.156715
1330,	22.159677
1331,	22.162637
1332,	22.165594
1333,	22.168549
1334,	22.171503
1335,	22.174454
1336,	22.177402
1337,	22.180349
1338,	22.183294
1339,	22.186236
1340,	22.189176
1341,	22.192114
1342,	22.195050
1343,	22.197984
1344,	22.200915
1345,	22.203845
1346,	22.206772
1347,	22.209697
1348,	22.212620
1349,	22.215541
1350,	22.218460
1351,	22.221376
1352,	22.224291
1353,	22.227203
1354,	22.230114
1355,	22.233022
1356,	22.235928
1357,	22.238832
1358,	22.241734
1359,	22.244633
1360,	22.247531
1361,	22.250426
1362,	22.253320
1363,	22.256211
1364,	22.259101
1365,	22.261988
1366,	22.264873
1367,	22.267756
1368,	22.270637
1369,	22.273516
1370,	22.276393
1371,	22.279268
1372,	22.282140
1373,	22.285011
1374,	22.287880
1375,	22.290746
1376,	22.293611
1377,	22.296473
1378,	22.299334
1379,	22.302192
1380,	22.305048
1381,	22.307903
1382,	22.310755
1383,	22.313605
1384,	22.316453
1385,	22.319300
1386,	22.322144
1387,	22.324986
1388,	22.327826
1389,	22.330664
1390,	22.333500
1391,	22.336334
1392,	22.339167
1393,	22.341997
1394,	22.344825
1395,	22.347651
1396,	22.350475
1397,	22.353297
1398,	22.356117
1399,	22.358936
1400,	22.361752
1401,	22.364566
1402,	22.367378
1403,	22.370189
1404,	22.372997
1405,	22.375803
1406,	22.378608
1407,	22.381410
1408,	22.384211
1409,	22.387009
1410,	22.389806
1411,	22.392600
1412,	22.395393
1413,	22.398184
1414,	22.400972
1415,	22.403759
1416,	22.406544
1417,	22.409327
1418,	22.412108
1419,	22.414887
1420,	22.417664
1421,	22.420440
1422,	22.423213
1423,	22.425985
1424,	22.428754
1425,	22.431522
1426,	22.434287
1427,	22.437051
1428,	22.439813
1429,	22.442573
1430,	22.445331
1431,	22.448087
1432,	22.450842
1433,	22.453594
1434,	22.456345
1435,	22.459093
1436,	22.461840
1437,	22.464585
1438,	22.467328
1439,	22.470069
1440,	22.472808
1441,	22.475546
1442,	22.478281
1443,	22.481015
1444,	22.483746
1445,	22.486476
1446,	22.489204
1447,	22.491931
1448,	22.494655
1449,	22.497378
1450,	22.500098
1451,	22.502817
1452,	22.505534
1453,	22.508249
1454,	22.510962
1455,	22.513674
1456,	22.516384
1457,	22.519091
1458,	22.521797
1459,	22.524501
1460,	22.527204
1461,	22.529904
1462,	22.532603
1463,	22.535300
1464,	22.537995
1465,	22.540688
1466,	22.543380
1467,	22.546069
1468,	22.548757
1469,	22.551443
1470,	22.554127
1471,	22.556810
1472,	22.559490
1473,	22.562169
1474,	22.564846
1475,	22.567522
1476,	22.570195
1477,	22.572867
1478,	22.575537
1479,	22.578205
1480,	22.580871
1481,	22.583536
1482,	22.586199
1483,	22.588860
1484,	22.591519
1485,	22.594177
1486,	22.596833
1487,	22.599487
1488,	22.602139
1489,	22.604790
1490,	22.607438
1491,	22.610085
1492,	22.612731
1493,	22.615374
1494,	22.618016
1495,	22.620656
1496,	22.623295
1497,	22.625931
1498,	22.628566
1499,	22.631199
1500,	22.633831
1501,	22.636460
1502,	22.639088
1503,	22.641715
1504,	22.644339
1505,	22.646962
1506,	22.649583
1507,	22.652202
1508,	22.654820
1509,	22.657436
1510,	22.660050
1511,	22.662663
1512,	22.665274
1513,	22.667883
1514,	22.670490
1515,	22.673096
1516,	22.675700
1517,	22.678303
1518,	22.680903
1519,	22.683502
1520,	22.686100
1521,	22.688695
1522,	22.691289
1523,	22.693882
1524,	22.696472
1525,	22.699061
1526,	22.701649
1527,	22.704234
1528,	22.706818
1529,	22.709400
1530,	22.711981
1531,	22.714560
1532,	22.717137
1533,	22.719713
1534,	22.722287
1535,	22.724859
1536,	22.727430
1537,	22.729999
1538,	22.732567
1539,	22.735132
1540,	22.737697
1541,	22.740259
1542,	22.742820
1543,	22.745379
1544,	22.747937
1545,	22.750493
1546,	22.753047
1547,	22.755600
1548,	22.758151
1549,	22.760701
1550,	22.763248
1551,	22.765795
1552,	22.768339
1553,	22.770882
1554,	22.773424
1555,	22.775964
1556,	22.778502
1557,	22.781038
1558,	22.783573
1559,	22.786107
1560,	22.788639
1561,	22.791169
1562,	22.793697
1563,	22.796224
1564,	22.798750
1565,	22.801274
1566,	22.803796
1567,	22.806317
1568,	22.808836
1569,	22.811353
1570,	22.813869
1571,	22.816383
1572,	22.818896
